Day,Sales (USD),Unique Sellers,Unique Buyers,Total Txns,Avg Sale (USD),Wash (USD),Wash Txn,Trade Profit,Supply,Eth price (USD),Total eth vol,Eth change per,Bitcoin price ,Total bitcoin vol ,Bitcoin change per,Gas Price 
"January 1, 2019","$4,416.38",108,70,218,$20.26,$8.35,1,$0.00,"4,030",139.61,3.05M,5.84%,"3,809.40",469.11K,2.69%,14330651283
"January 2, 2019","$6,189.77",62,76,139,$44.53,"$2,685.46",7,$38.61,125,152.95,5.51M,9.56%,"3,873.80",554.47K,1.69%,13518333631
"January 3, 2019","$5,486.61",72,88,235,$23.35,"$1,492.68",5,$2.21,"1,417",146.94,4.02M,-3.93%,"3,780.10",450.32K,-2.42%,12695511480
"January 4, 2019","$8,053.08",96,90,250,$32.21,$843.21,9,$1.51,"1,438",152.86,4.92M,4.03%,"3,802.70",488.70K,0.60%,14197164275
"January 5, 2019","$6,769.97",85,73,165,$41.03,$423.57,8,$172.86,136,153.49,4.85M,0.41%,"3,785.40",468.45K,-0.46%,24120227063
"January 6, 2019","$7,019.86",101,81,210,$33.43,$85.77,1,$58.59,"2,606",154.96,4.23M,0.96%,"4,004.10",529.89K,5.78%,13443565864
"January 7, 2019","$6,840.74",85,80,152,$45.00,$691.60,7,$16.38,"1,449",149.96,2.88M,-3.23%,"3,985.90",500.88K,-0.45%,15727137336
"January 8, 2019","$4,380.43",95,93,214,$20.47,$153.53,4,$8.21,"1,505",148.41,3.04M,-1.03%,"3,971.00",514.08K,-0.37%,13679045245
"January 9, 2019","$6,355.27",101,78,263,$24.16,$89.77,18,$0.00,"1,441",148.79,2.34M,0.26%,"3,978.00",473.42K,0.17%,13525936033
"January 10, 2019","$4,800.52",95,93,187,$25.67,$558.49,4,$12.48,"1,490",125.63,6.48M,-15.56%,"3,603.70",697.31K,-9.41%,15364969669
"January 11, 2019","$4,049.99",76,86,196,$20.66,$98.10,5,$44.01,"1,513",125.15,3.77M,-0.39%,"3,616.50",551.64K,0.35%,13631672273
"January 12, 2019","$10,821.14",96,95,292,$37.06,$99.47,3,$0.00,179,123.75,2.21M,-1.11%,"3,597.20",435.06K,-0.53%,12182668844
"January 13, 2019","$7,039.95",112,113,246,$28.62,$409.46,4,$63.54,"1,455",114.64,2.98M,-7.36%,"3,490.20",452.79K,-2.98%,12299362181
"January 14, 2019","$4,084.20",84,75,218,$18.73,$388.81,7,$3.10,173,127.53,3.86M,11.24%,"3,638.10",539.93K,4.24%,19179700938
"January 15, 2019","$7,275.43",93,86,163,$44.63,$178.57,4,$13.54,201,119.62,4.31M,-6.20%,"3,571.30",544.85K,-1.84%,18403886289
"January 16, 2019","$7,069.74",102,74,162,$43.64,$106.51,2,$15.94,"1,526",121.72,3.83M,1.75%,"3,588.00",487.34K,0.47%,20629866067
"January 17, 2019","$12,092.32",119,105,241,$50.18,$42.93,1,$33.50,"1,554",122.03,3.61M,0.25%,"3,626.40",525.10K,1.07%,13639170146
"January 18, 2019","$6,828.49",91,62,210,$32.52,$0.00,0,$396.45,"1,511",119.34,2.59M,-2.20%,"3,605.60",488.16K,-0.57%,14390713391
"January 19, 2019","$14,217.91",119,91,241,$59.00,$557.52,8,$61.16,"1,321",123.02,3.36M,3.09%,"3,677.80",537.06K,2.00%,12427478085
"January 20, 2019","$7,347.93",106,92,197,$37.30,$235.03,2,$11.75,"1,555",117.52,3.93M,-4.47%,"3,542.30",563.31K,-3.68%,12387866392
"January 21, 2019","$9,937.02",122,115,361,$27.53,$421.54,29,$174.01,"1,543",116.05,4.80M,-1.25%,"3,536.70",394.17K,-0.16%,13567626739
"January 22, 2019","$12,143.43",104,106,225,$53.97,$29.50,2,$60.51,"1,303",118.23,5.11M,1.88%,"3,580.10",447.70K,1.23%,18561474026
"January 23, 2019","$7,104.95",131,123,294,$24.17,$297.76,8,$427.11,"1,550",116.84,4.35M,-1.18%,"3,561.50",445.87K,-0.52%,13308904468
"January 24, 2019","$13,444.84",159,135,552,$24.36,$258.24,5,$248.53,"1,584",116.71,4.38M,-0.11%,"3,574.30",428.60K,0.36%,14394162195
